Id,Sales
1,5060.828
2,7231.9546
3,9047.617
4,5696.5127
5,6658.2427
6,5755.9062
7,8416.953
8,7897.147
9,5309.723
10,5741.6333
11,6921.1606
12,7900.115
13,6626.792
14,8101.699
15,5780.2964
16,4854.1226
17,5672.5884
18,9870.233
19,11495.032
20,9975.22
21,7500.638
22,5517.532
23,6076.0825
24,4500.4243
25,8616.218
26,10326.334
27,9662.244
28,6276.562
29,4996.6616
30,5247.863
31,5663.077
32,10608.668
33,7112.381
34,5617.7827
35,5547.7764
36,7349.675
37,4348.015
38,7472.099
39,4612.8154
40,6938.2837
41,7842.89
42,5374.2847
43,7511.3228
44,6505.2544
45,4992.7305
46,6713.806
47,7307.436
48,10872.639
49,6402.318
50,8025.001
51,7647.258
52,9720.191
53,6736.5444
54,9355.871
55,4627.8345
56,4901.4263
57,6359.9146
58,6148.484
59,9267.167
60,7902.8354
61,5588.4565
62,7862.9194
63,7123.688
64,9565.978
65,4319.7925
66,13365.186
67,4873.7017
68,6160.1294
69,8509.776
70,5776.065
71,6222.519
72,6300.656
73,7242.5347
74,5345.1797
75,5416.56
76,8252.714
77,7695.9473
78,7087.8423
79,4829.2974
80,7497.1064
81,11397.459
82,6592.4604
83,4696.933
84,7115.806
85,6417.9766
86,7363.1064
87,7574.131
88,4262.109
89,8011.6895
90,6170.028
91,7335.4067
92,6655.5146
93,4762.264
94,7208.8125
95,5581.775
96,7773.38
97,9510.407
98,5436.338
99,5497.037
100,6541.958
101,6241.434
102,5588.0034
103,8366.972
104,6641.458
105,7644.4062
106,5769.4106
107,4896.446
108,6492.879
109,7926.308
110,8548.285
111,8164.097
112,8470.912
113,5767.3745
114,8554.4
115,5646.764
116,7396.5933
117,8985.555
118,7264.847
119,9954.587
120,8565.664
121,7916.415
122,5860.7764
123,7332.0786
124,8192.147
125,6444.1606
126,4385.2656
127,6021.391
128,7715.982
129,7634.1216
130,5220.5747
131,8675.252
132,7148.244
133,6104.5054
134,5991.773
135,5466.308
136,7343.596
137,7445.229
138,6608.561
139,5671.06
140,5077.469
141,6758.393
142,4290.125
143,6408.9604
144,5307.099
145,8981.3955
146,7342.528
147,7017.5464
148,9447.238
149,5419.1055
150,5146.694
151,11082.084
152,7001.476
153,8173.7026
154,7811.3623
155,5523.2427
156,6269.152
157,5668.0337
158,7446.143
159,11639.309
160,5827.654
161,3888.5657
162,4932.074
163,8384.768
164,9742.399
165,6655.709
166,7511.278
167,5039.779
168,5452.3267
169,3779.2087
170,5111.476
171,5976.6616
172,6871.1167
173,7406.5034
174,6235.3843
175,8254.476
176,8949.002
177,7777.748
178,5132.813
179,9642.475
180,11631.625
181,6188.394
182,7894.6333
183,5415.3774
184,6767.0044
185,4408.4224
186,7199.025
187,5544.025
188,9111.012
189,7240.7144
190,9006.256
191,8691.914
192,5483.428
193,8800.965
194,19913.525
195,11179.287
196,5913.069
197,3955.007
198,6453.5503
199,10132.291
200,5779.4326
201,11946.39
202,21658.908
203,4294.364
204,5196.4707
205,9699.912
206,5062.625
207,9716.736
208,6445.7563
209,7137.6987
210,4540.889
211,7687.504
212,6678.334
213,7348.875
214,9428.775
215,6368.2114
216,6094.524
217,7286.0913
218,5773.692
219,5448.0786
220,8402.473
221,5866.187
222,6513.056
223,7154.3438
224,5989.787
225,5467.107
226,7113.2065
227,7099.5757
228,8657.602
229,6353.787
230,7298.1475
231,5790.091
232,4405.587
233,6536.164
234,7250.5557
235,5537.9575
236,4728.9214
237,9848.793
238,7216.4736
239,8658.294
240,6785.8384
241,5653.368
242,5318.6787
243,4464.8735
244,10164.437
245,5680.262
246,8024.2524
247,15436.147
248,7637.421
249,6720.4595
250,5318.244
251,4738.818
252,7115.427
253,4779.384
254,6325.8857
255,10025.367
256,5666.7285
257,14039.15
258,14415.461
259,5327.933
260,7467.636
261,5411.946
262,6608.5527
263,5648.071
264,11493.775
265,7281.0054
266,8820.792
267,4879.0454
268,6923.4814
269,5191.775
270,9287.742
271,7325.7183
272,6168.4062
273,6867.482
274,5986.003
275,8715.256
276,9533.603
277,5926.4956
278,10729.301
279,7087.5083
280,9629.081
281,4954.905
282,5732.4453
283,5512.917
284,10167.398
285,7111.359
286,8014.8022
287,7122.642
288,9077.271
289,4943.067
290,8148.3164
291,6465.9077
292,4341.1133
293,15065.344
294,17985.307
295,7659.2407
296,8341.52
297,9507.801
298,10509.458
299,10682.588
300,6006.1094
301,7493.1396
302,6072.519
303,8620.261
304,4371.8193
305,5677.652
306,5768.223
307,5658.261
308,7664.651
309,5144.1646
310,4636.365
311,6344.7007
312,4314.001
313,5138.615
314,5822.6704
315,6464.9272
316,9437.223
317,9464.413
318,7262.941
319,6670.935
320,6395.096
321,11298.176
322,7834.953
323,5517.4253
324,5000.2085
325,9847.59
326,4922.3975
327,7196.3545
328,3951.5696
329,5193.2954
330,7913.253
331,6468.2397
332,5500.391
333,8925.292
334,9853.51
335,11422.635
336,5549.5312
337,10305.146
338,3878.9329
339,5444.117
340,6593.3315
341,4864.4204
342,8785.207
343,5159.39
344,5554.5444
345,8790.656
346,11823.982
347,9070.295
348,5610.691
349,5408.8403
350,8120.0884
351,7535.0664
352,6307.7515
353,5144.393
354,7763.8423
355,9629.699
356,5224.0166
357,6275.776
358,8024.5264
359,8012.4946
360,13909.962
361,6910.4
362,13608.805
363,7440.031
364,5468.942
365,4037.6199
366,6644.518
367,6443.0366
368,5339.9927
369,7969.0767
370,5258.978
371,4608.099
372,7322.0645
373,4144.1333
374,8482.978
375,6948.876
376,8273.286
377,8681.209
378,5423.4175
379,9239.666
380,7146.7583
381,5480.184
382,5584.173
383,5565.7275
384,11586.935
385,6790.932
386,5058.5938
387,7813.479
388,8875.762
389,7002.7554
390,6349.9917
391,8527.26
392,5870.4497
393,5919.9097
394,5871.2935
395,9536.018
396,6023.0786
397,6325.4087
398,6258.656
399,5531.723
400,4493.0156
401,5450.6343
402,8635.758
403,8116.2134
404,11081.071
405,11259.918
406,8025.042
407,4823.0596
408,5210.8784
409,11133.859
410,10025.288
411,8018.253
412,8301.094
413,8693.649
414,5733.9517
415,4251.3354
416,11735.971
417,5863.4287
418,6881.147
419,6352.5264
420,3284.834
421,11018.887
422,5997.171
423,5263.683
424,5023.362
425,6247.094
426,6672.731
427,8016.2056
428,7300.7515
429,4893.153
430,5482.5317
431,4645.8325
432,3774.9192
433,7040.9233
434,18775.098
435,5703.0386
436,5805.1875
437,6720.489
438,5189.918
439,5430.136
440,5252.098
441,4704.8306
442,7991.5396
443,7167.794
444,4339.0137
445,9167.253
446,5588.525
447,5279.3257
448,8462.525
449,8530.596
450,10494.514
451,5459.4194
452,7122.3823
453,5232.5825
454,5911.729
455,16038.689
456,10078.789
457,6299.2197
458,4985.474
459,5281.8716
460,5947.614
461,4753.1245
462,9688.225
463,5322.0903
464,6148.3022
465,7247.2983
466,5186.83
467,6374.1304
468,7160.8765
469,8208.211
470,7343.5215
471,4452.777
472,5940.2905
473,7232.941
474,10022.479
475,8767.46
476,6990.6724
477,4609.122
478,8056.8774
479,6020.456
480,11.974033
481,7602.519
482,7279.916
483,6424.4688
484,6177.016
485,6384.7417
486,7845.016
487,5713.5063
488,7207.3833
489,7485.03
490,6151.596
491,9068.793
492,6208.1846
493,4897.2876
494,12038.295
495,5906.19
496,4324.431
497,8340.902
498,9941.855
499,11235.71
500,5268.9907
501,5894.636
502,6602.9146
503,7739.6636
504,6161.965
505,8357.02
506,3936.6375
507,6222.197
508,6384.682
509,5835.311
510,4862.6655
511,7319.018
512,8751.533
513,5063.1665
514,8593.365
515,7316.3804
516,9014.814
517,4841.4346
518,6741.352
519,6101.0195
520,7305.7354
521,8637.615
522,4615.5474
523,7977.0474
524,8332.301
525,7566.216
526,5495.554
527,4246.3486
528,8117.1665
529,7115.9956
530,8587.182
531,7109.6685
532,5745.8716
533,8775.039
534,6738.4185
535,6725.9673
536,8395.034
537,5605.776
538,8016.1274
539,11213.838
540,8599.665
541,4677.076
542,6040.3433
543,4678.5483
544,0.0
545,8330.375
546,6002.3525
547,8690.795
548,4868.07
549,7119.737
550,6586.343
551,11203.033
552,4860.3657
553,5984.18
554,5806.606
555,8161.4634
556,5649.558
557,7368.7856
558,7840.399
559,10101.102
560,7252.77
561,6966.215
562,5885.3447
563,4821.397
564,5527.353
565,10807.148
566,9512.695
